"","S6914","S6916","S6939","S7049","S7064","S7080","S7081","S7084","S7085","S7087","S7090","S7091","S7092","S7095","S7109","S7111","S7112","S7113","S7116","S7124","S7125","S7129","S7132","S7140","S7144","S7148","S7151","S7153","S7154","S7155","S7158","S7159","S7164","S7168","S7169","S7170","S7171","S7173","S7174","S7178","S7185"
"S7159",0.999281810985625,0.999371302162231,0.999371302162231,0.999538170923359,0.999538170923359,0.999657094773743,0.999657094773743,0.999734023601565,0.999832218898789,0.999828408560262,0.999828408560262,0.999828408560262,0.999832218898789,0.999856884319813,0.999825176501636,0.999865957288398,0.999916340630704,0.999916340630704,0.999916340630704,0.999970808460204,0.999901833865547,0.999900671914749,0.999970808460204,0.999901833865547,0.999949123045246,0.999901833865547,0.999970808460204,0.999970808460204,0.999900671914749,0.999966247053545,0.999966711461591,1,0.999973549841849,0.999973549841849,0.999978706785683,0.999959384746948,0.999955672233017,0.99995564318662,0.999970521425225,0.999946524540656,0.999980888356597
"S7164",0.999382923558534,0.99945171448346,0.99945171448346,0.999576516741796,0.999576516741796,0.999722928450439,0.999722928450439,0.99975695722499,0.99983449572199,0.999863619772383,0.999863619772383,0.999863619772383,0.99983449572199,0.999899222364026,0.999910869886553,0.999891051972762,0.999949923380845,0.999949923380845,0.999949923380845,0.999958631516798,0.999913006244241,0.999894093622798,0.999958631516798,0.999913006244241,0.999964019017507,0.999913006244241,0.999958631516798,0.999958631516798,0.999894093622798,0.999953935737107,0.99993899112722,0.999973549841849,1,1,0.99995361670015,0.999932589406829,0.999922808755398,0.999941515920997,0.999961433488848,0.999927102798966,0.999974612795346
"S7168",0.999382923558534,0.99945171448346,0.99945171448346,0.999576516741796,0.999576516741796,0.999722928450439,0.999722928450439,0.99975695722499,0.99983449572199,0.999863619772383,0.999863619772383,0.999863619772383,0.99983449572199,0.999899222364026,0.999910869886553,0.999891051972762,0.999949923380845,0.999949923380845,0.999949923380845,0.999958631516798,0.999913006244241,0.999894093622798,0.999958631516798,0.999913006244241,0.999964019017507,0.999913006244241,0.999958631516798,0.999958631516798,0.999894093622798,0.999953935737107,0.99993899112722,0.999973549841849,1,1,0.99995361670015,0.999932589406829,0.999922808755398,0.999941515920997,0.999961433488848,0.999927102798966,0.999974612795346
"S7169",0.999280841220114,0.999385469901545,0.999385469901545,0.999536312282467,0.999536312282467,0.999665960907328,0.999665960907328,0.99976965967516,0.99983559657071,0.999845818693532,0.999845818693532,0.999845818693532,0.99983559657071,0.999882797657454,0.999823150436101,0.999882462331173,0.999909593071936,0.999909593071936,0.999909593071936,0.999958037323031,0.99992050256904,0.999910450480252,0.999958037323031,0.99992050256904,0.999923648648442,0.99992050256904,0.999958037323031,0.999958037323031,0.999910450480252,0.999971878943109,0.999975670884798,0.999978706785683,0.99995361670015,0.99995361670015,1,0.999989075250014,0.999980386903348,0.999965694039331,0.99998053747378,0.999967693810727,0.999965197436176
"S7170",0.999270411621167,0.99939143636552,0.99939143636552,0.999522850112566,0.999522850112566,0.999645713047747,0.999645713047747,0.999772906143737,0.999816055277278,0.999824281737891,0.999824281737891,0.999824281737891,0.999816055277278,0.999867283583297,0.999806358030421,0.999867328117183,0.999906888963937,0.999906888963937,0.999906888963937,0.999949928993571,0.999906641903755,0.999914068761136,0.999949928993571,0.999906641903755,0.999874870783337,0.999906641903755,0.999949928993571,0.999949928993571,0.999914068761136,0.999960089539979,0.999973239224823,0.999959384746948,0.999932589406829,0.999932589406829,0.999989075250014,1,0.999988253805284,0.999969789240457,0.999954362826972,0.999969635887288,0.999933875959153
"S7171",0.999388253360128,0.999483478222872,0.999483478222872,0.999623459947675,0.999623459947675,0.999720818913612,0.999720818913612,0.999829816363503,0.999871623202376,0.999868507712385,0.999868507712385,0.999868507712385,0.999871623202376,0.999899979806459,0.999816732798122,0.999904700302135,0.999915690307936,0.999915690307936,0.999915690307936,0.999955412540123,0.999922319858864,0.999947878504881,0.999955412540123,0.999922319858864,0.999869722244429,0.999922319858864,0.999955412540123,0.999955412540123,0.999947878504881,0.999952013811255,0.999977816657752,0.999955672233017,0.999922808755398,0.999922808755398,0.999980386903348,0.999988253805284,1,0.999974971061223,0.999942254093824,0.999953034287844,0.999929930843736
"S7173",0.999474072958723,0.999589205208109,0.999589205208109,0.999688815301114,0.999688815301114,0.999769075173745,0.999769075173745,0.999866406257119,0.999909537949267,0.999890446563118,0.999890446563118,0.999890446563118,0.999909537949267,0.99992297053897,0.999883279857956,0.999930928174546,0.999951989651479,0.999951989651479,0.999951989651479,0.999968269206083,0.999946628913647,0.999973677427506,0.999968269206083,0.999946628913647,0.999913465951157,0.999946628913647,0.999968269206083,0.999968269206083,0.999973677427506,0.999975937577716,0.999974491435087,0.99995564318662,0.999941515920997,0.999941515920997,0.999965694039331,0.999969789240457,0.999974971061223,1,0.999932998343669,0.999928594187709,0.999921217855954
"S7174",0.999240298814889,0.999321761316006,0.999321761316006,0.999475451477892,0.999475451477892,0.999632918306598,0.999632918306598,0.999722171611625,0.999802461600369,0.999814005264468,0.999814005264468,0.999814005264468,0.999802461600369,0.999856977912703,0.999819645589364,0.999849119580526,0.999897154633341,0.999897154633341,0.999897154633341,0.999922542712851,0.999875831148552,0.999872028490265,0.999922542712851,0.999875831148552,0.99993288627725,0.999875831148552,0.999922542712851,0.999922542712851,0.999872028490265,0.999935965350746,0.999931235674115,0.999970521425225,0.999961433488848,0.999961433488848,0.99998053747378,0.999954362826972,0.999942254093824,0.999932998343669,1,0.999939034958449,0.999984189782629
"S7178",0.99918796940216,0.999330299475507,0.999330299475507,0.999438414569877,0.999438414569877,0.999609640468118,0.999609640468118,0.999667666616244,0.999757160809873,0.999770537413393,0.999770537413393,0.999770537413393,0.999757160809873,0.999835594162475,0.999778464355147,0.999838576366226,0.999867833785978,0.999867833785978,0.999867833785978,0.999901048225039,0.999865781562158,0.999869496073788,0.999901048225039,0.999865781562158,0.999855810416937,0.999865781562158,0.999901048225039,0.999901048225039,0.999869496073788,0.999931746016816,0.999956739432205,0.999946524540656,0.999927102798966,0.999927102798966,0.999967693810727,0.999969635887288,0.999953034287844,0.999928594187709,0.999939034958449,1,0.999918050420796
"S7185",0.999279427190849,0.99933356143474,0.99933356143474,0.999513715968726,0.999513715968726,0.999661748926028,0.999661748926028,0.999725285683279,0.999820906419768,0.999834632163893,0.999834632163893,0.999834632163893,0.999820906419768,0.999862168475216,0.999838075347452,0.99985207072588,0.999905475747252,0.999905475747252,0.999905475747252,0.999944510649299,0.999883556768969,0.999873726763776,0.999944510649299,0.999883556768969,0.999951505757499,0.999883556768969,0.999944510649299,0.999944510649299,0.999873726763776,0.999939895943327,0.999933315816017,0.999980888356597,0.999974612795346,0.999974612795346,0.999965197436176,0.999933875959153,0.999929930843736,0.999921217855954,0.999984189782629,0.999918050420796,1
