"","Axis1","Axis2","site","year","HydroBasin","Country"
"S11264_2011",1.90991401062544,-1.1974190125472,"S11264",2011,"7080047060","USA"
"S11264_2006",1.88546705453884,-1.54157254146533,"S11264",2006,"7080047060","USA"
"S11264_2012",1.4295125389546,-1.12928899306937,"S11264",2012,"7080047060","USA"
"S11286_2008",0.238654006843185,-2.23080303147223,"S11286",2008,"2080053790","GBR"
"S11286_2009",0.242595881903767,-2.20403697732744,"S11286",2009,"2080053790","GBR"
"S11286_2006",1.94991485193141,-0.870627621660591,"S11286",2006,"2080053790","GBR"
"S11286_2007",0.290071070366192,-2.27114157187668,"S11286",2007,"2080053790","GBR"
"S11286_2010",0.348961212638572,-2.19862886619023,"S11286",2010,"2080053790","GBR"
"S11286_2011",0.34465813541734,-2.19176085799387,"S11286",2011,"2080053790","GBR"
"S11286_2012",0.285517200662118,-2.26244900745345,"S11286",2012,"2080053790","GBR"
"S11286_2013",0.0334941825832758,-2.24881161515607,"S11286",2013,"2080053790","GBR"
"S11286_2004",0.4160278428528,-1.88020155917794,"S11286",2004,"2080053790","GBR"
"S11286_2005",0.182936788253514,-2.01134430894096,"S11286",2005,"2080053790","GBR"
"S1129_2007",-4.40787514702563,-0.251765364959044,"S1129",2007,"2080033020","SWE"
"S1129_2011",-2.61707150682282,-0.430834963669312,"S1129",2011,"2080033020","SWE"
"S1129_2004",-4.19977812263114,-0.789049236284466,"S1129",2004,"2080033020","SWE"
"S1129_2005",-4.19060384153576,-0.286308980294193,"S1129",2005,"2080033020","SWE"
"S1129_2009",-3.03813119939267,-0.392545485672311,"S1129",2009,"2080033020","SWE"
"S1129_2010",-3.10336994879736,-0.490947146195211,"S1129",2010,"2080033020","SWE"
"S1129_2012",-2.74697439126111,-0.34270258351732,"S1129",2012,"2080033020","SWE"
"S1129_2013",0.374663200655738,-0.458530640411232,"S1129",2013,"2080033020","SWE"
"S1129_2006",-2.63220917237861,-0.466252448109379,"S1129",2006,"2080033020","SWE"
"S1129_2008",-3.38347620476342,-0.367758567228553,"S1129",2008,"2080033020","SWE"
"S1133_2008",2.44156887588547,0.212108783526785,"S1133",2008,"2080021030","FRA"
"S1133_2012",2.23858832938733,-0.186460855309578,"S1133",2012,"2080021030","FRA"
"S1133_2005",2.10607008813617,0.240039201419809,"S1133",2005,"2080021030","FRA"
