"","Country","Axis","Correlation","BasinID1","BasinID2"
"X2080032230.2080030630","SWE","Axis1","-0.0958200828752266","2080032230","2080030630"
"X2080032600.2080030630","SWE","Axis1","-0.497266265304255","2080032600","2080030630"
"X2080032670.2080030630","SWE","Axis1","-0.000186845765628359","2080032670","2080030630"
"X2080032980.2080030630","SWE","Axis1","0.203842715577653","2080032980","2080030630"
"X2080033010.2080030630","SWE","Axis1","-0.0223369950430938","2080033010","2080030630"
"X2080033020.2080030630","SWE","Axis1","-0.31225974865526","2080033020","2080030630"
"X2080033080.2080030630","SWE","Axis1","-0.112404369815921","2080033080","2080030630"
"X2080033090.2080030630","SWE","Axis1","-0.0155845976464579","2080033090","2080030630"
"X2080033120.2080030630","SWE","Axis1","-0.458467309291836","2080033120","2080030630"
"X2080033190.2080030630","SWE","Axis1","-0.318808536031158","2080033190","2080030630"
"X2080033320.2080030630","SWE","Axis1","-0.767047737416606","2080033320","2080030630"
"X2080030710.2080030660","SWE","Axis1","0.339668591658875","2080030710","2080030660"
"X2080030760.2080030660","SWE","Axis1","0.679911417403855","2080030760","2080030660"
"X2080031060.2080030660","SWE","Axis1","-0.230082658738976","2080031060","2080030660"
"X2080031740.2080030660","SWE","Axis1","-0.253558358915563","2080031740","2080030660"
"X2080031750.2080030660","SWE","Axis1","0.328427631240703","2080031750","2080030660"
"X2080031960.2080030660","SWE","Axis1","-0.05510374396987","2080031960","2080030660"
"X2080032230.2080030660","SWE","Axis1","0.1155109273084","2080032230","2080030660"
"X2080032600.2080030660","SWE","Axis1","0.529870539315801","2080032600","2080030660"
"X2080032670.2080030660","SWE","Axis1","0.0888882445405823","2080032670","2080030660"
"X2080032980.2080030660","SWE","Axis1","0.416468162134446","2080032980","2080030660"
"X2080033010.2080030660","SWE","Axis1","0.302803452273213","2080033010","2080030660"
"X2080033020.2080030660","SWE","Axis1","0.160652561248431","2080033020","2080030660"
"X2080033080.2080030660","SWE","Axis1","-0.417898723310413","2080033080","2080030660"
"X2080033090.2080030660","SWE","Axis1","0.434252044051496","2080033090","2080030660"
"X2080033120.2080030660","SWE","Axis1","-0.0185422819269725","2080033120","2080030660"
"X2080033190.2080030660","SWE","Axis1","0.355029811989174","2080033190","2080030660"
"X2080033320.2080030660","SWE","Axis1","0.0162397153456225","2080033320","2080030660"
"X2080030760.2080030710","SWE","Axis1","0.403457701993745","2080030760","2080030710"
"X2080031060.2080030710","SWE","Axis1","0.461869662879832","2080031060","2080030710"
"X2080031740.2080030710","SWE","Axis1","0.17501669623277","2080031740","2080030710"
"X2080031750.2080030710","SWE","Axis1","-0.463052665420264","2080031750","2080030710"
"X2080031960.2080030710","SWE","Axis1","0.342569751569939","2080031960","2080030710"
"X2080032230.2080030710","SWE","Axis1","-0.656946459127509","2080032230","2080030710"
"X2080032600.2080030710","SWE","Axis1","0.319521311949907","2080032600","2080030710"
"X2080032670.2080030710","SWE","Axis1","0.805578102425885","2080032670","2080030710"
"X2080032980.2080030710","SWE","Axis1","0.50843336594744","2080032980","2080030710"
"X2080033010.2080030710","SWE","Axis1","-0.651288588424554","2080033010","2080030710"
"X2080033020.2080030710","SWE","Axis1","-0.500296610259109","2080033020","2080030710"
"X2080033080.2080030710","SWE","Axis1","-0.504425486820152","2080033080","2080030710"
"X2080033090.2080030710","SWE","Axis1","0.0437826385965188","2080033090","2080030710"
"X2080033120.2080030710","SWE","Axis1","0.555854089989618","2080033120","2080030710"
"X2080033190.2080030710","SWE","Axis1","0.0426871164958857","2080033190","2080030710"
"X2080033320.2080030710","SWE","Axis1","0.495897272299562","2080033320","2080030710"
"X2080031060.2080030760","SWE","Axis1","0.0302977352137043","2080031060","2080030760"
"X2080031740.2080030760","SWE","Axis1","-0.247790636505795","2080031740","2080030760"
"X2080031750.2080030760","SWE","Axis1","0.0988608578847933","2080031750","2080030760"
"X2080031960.2080030760","SWE","Axis1","0.0551685337894518","2080031960","2080030760"
"X2080032230.2080030760","SWE","Axis1","-0.0816745180521369","2080032230","2080030760"
"X2080032600.2080030760","SWE","Axis1","0.567632978557553","2080032600","2080030760"
"X2080032670.2080030760","SWE","Axis1","0.166059950719384","2080032670","2080030760"
"X2080032980.2080030760","SWE","Axis1","0.373488045259519","2080032980","2080030760"
"X2080033010.2080030760","SWE","Axis1","0.0225466718260727","2080033010","2080030760"
"X2080033020.2080030760","SWE","Axis1","0.329657549636464","2080033020","2080030760"
"X2080033080.2080030760","SWE","Axis1","-0.415251740704692","2080033080","2080030760"
"X2080033090.2080030760","SWE","Axis1","-0.00850055145457008","2080033090","2080030760"
"X2080033120.2080030760","SWE","Axis1","0.44849846661209","2080033120","2080030760"
"X2080033190.2080030760","SWE","Axis1","0.464850184234383","2080033190","2080030760"
"X2080033320.2080030760","SWE","Axis1","0.376093357569518","2080033320","2080030760"
"X2080031740.2080031060","SWE","Axis1","0.429005271474469","2080031740","2080031060"
"X2080031750.2080031060","SWE","Axis1","0.0164484840689876","2080031750","2080031060"
"X2080031960.2080031060","SWE","Axis1","0.205449340964438","2080031960","2080031060"
"X2080032230.2080031060","SWE","Axis1","-0.550042355501378","2080032230","2080031060"
"X2080032600.2080031060","SWE","Axis1","-0.14023300580944","2080032600","2080031060"
"X2080032670.2080031060","SWE","Axis1","0.393211444715714","2080032670","2080031060"
"X2080032980.2080031060","SWE","Axis1","0.0759097951613071","2080032980","2080031060"
"X2080033010.2080031060","SWE","Axis1","-0.823150772868689","2080033010","2080031060"
