"","Axis","Correlation","BasinID1","BasinID2"
"X2080030160.2080029400","Axis1","0.276284787403162","2080030160","2080029400"
"X2080030220.2080029400","Axis1","0.375914014912678","2080030220","2080029400"
"X2080030370.2080029400","Axis1","0.00423238386531026","2080030370","2080029400"
"X2080030420.2080029400","Axis1","-0.451012031773041","2080030420","2080029400"
"X2080030460.2080029400","Axis1","-0.3954417915625","2080030460","2080029400"
"X2080030560.2080029400","Axis1","-0.15964946417514","2080030560","2080029400"
"X2080030610.2080029400","Axis1","-0.548459373696087","2080030610","2080029400"
"X2080030630.2080029400","Axis1","-0.0596953596869642","2080030630","2080029400"
"X2080030660.2080029400","Axis1","-0.336504089403667","2080030660","2080029400"
"X2080030710.2080029400","Axis1","0.265622562802394","2080030710","2080029400"
"X2080030760.2080029400","Axis1","-0.265457791194684","2080030760","2080029400"
"X2080031060.2080029400","Axis1","0.403901355479097","2080031060","2080029400"
"X2080031740.2080029400","Axis1","-0.330892124296105","2080031740","2080029400"
"X2080031750.2080029400","Axis1","-0.597110612517775","2080031750","2080029400"
"X2080031960.2080029400","Axis1","0.251772680619156","2080031960","2080029400"
"X2080032230.2080029400","Axis1","0.112653266018667","2080032230","2080029400"
"X2080032600.2080029400","Axis1","0.243107615346274","2080032600","2080029400"
"X2080032670.2080029400","Axis1","-0.0585554964421585","2080032670","2080029400"
"X2080032980.2080029400","Axis1","-0.112845869685813","2080032980","2080029400"
"X2080033010.2080029400","Axis1","-0.66850102586386","2080033010","2080029400"
"X2080033020.2080029400","Axis1","-0.0670005393250381","2080033020","2080029400"
"X2080033080.2080029400","Axis1","-0.431723536534292","2080033080","2080029400"
"X2080033090.2080029400","Axis1","0.1450349924141","2080033090","2080029400"
"X2080033120.2080029400","Axis1","0.329528425805848","2080033120","2080029400"
"X2080033190.2080029400","Axis1","-0.552629864086183","2080033190","2080029400"
"X2080033320.2080029400","Axis1","0.189503834235668","2080033320","2080029400"
"X2080053790.2080029400","Axis1","0.328072323121182","2080053790","2080029400"
"X5080070260.2080029400","Axis1","0.147054170269508","5080070260","2080029400"
"X5080070390.2080029400","Axis1","0.344710075438996","5080070390","2080029400"
"X5080070440.2080029400","Axis1","0.618004833510454","5080070440","2080029400"
"X7080047060.2080029400","Axis1","0.122000336572743","7080047060","2080029400"
"X7080049270.2080029400","Axis1","-0.228254867204848","7080049270","2080029400"
"X2080030160.2080030100","Axis1","-0.127238969057214","2080030160","2080030100"
"X2080030220.2080030100","Axis1","0.0938581375920887","2080030220","2080030100"
"X2080030370.2080030100","Axis1","0.530000008557483","2080030370","2080030100"
"X2080030420.2080030100","Axis1","0.391266260321117","2080030420","2080030100"
"X2080030460.2080030100","Axis1","0.112712135321943","2080030460","2080030100"
"X2080030560.2080030100","Axis1","0.682550949607175","2080030560","2080030100"
"X2080030610.2080030100","Axis1","0.642133708148441","2080030610","2080030100"
"X2080030630.2080030100","Axis1","0.487222803713099","2080030630","2080030100"
